Date,Open,High,Low,Close,Adj Close,Volume
2020-01-21,3.613458,3.676001,3.567023,3.663300,3.663300,2203424938
2020-01-22,3.662982,3.721793,3.607594,3.650600,3.650600,2301041589
2020-01-23,3.653771,3.654180,3.506874,3.574521,3.574521,2743868029
2020-01-24,3.574516,3.699327,3.381913,3.642633,3.642633,3096790654
2020-01-25,3.643684,3.645144,3.516227,3.530184,3.530184,2049669642
2020-01-26,3.522714,3.666467,3.460532,3.650286,3.650286,2433244476
2020-01-27,3.649458,4.041489,3.649458,3.963901,3.963901,3757546389
2020-01-28,3.962856,4.097774,3.898957,4.050941,4.050941,3925809247
2020-01-29,4.050254,4.110279,3.978732,3.978732,3.978732,3423336507
2020-01-30,3.972189,4.390858,3.907205,4.339427,4.339427,4566252853
2020-01-31,4.335205,4.364132,4.038608,4.138687,4.138687,3713840781
2020-02-01,4.145498,4.251647,4.094769,4.158605,4.158605,2870748186
2020-02-02,4.157361,4.337776,4.071312,4.222658,4.222658,3141767218
2020-02-03,4.218936,4.349659,4.164377,4.202330,4.202330,2957930221
2020-02-04,4.198116,4.266963,4.084074,4.246143,4.246143,2817365160
2020-02-05,4.242377,4.570115,4.201184,4.515810,4.515810,3717109097
2020-02-06,4.519347,4.644490,4.456170,4.584068,4.584068,3884292053
2020-02-07,4.588418,4.673019,4.535957,4.601564,4.601564,3516464246
2020-02-08,4.599897,4.815507,4.475215,4.761521,4.761521,3764687323
2020-02-09,4.758227,5.019941,4.755172,5.006863,5.006863,4150853948
2020-02-10,5.011497,5.036586,4.755728,4.906778,4.906778,4404077766
2020-02-11,4.906363,5.260517,4.802540,5.245846,5.245846,4171252310
2020-02-12,5.242849,5.450212,5.235405,5.351984,5.351984,4791365422
2020-02-13,5.350166,5.475570,5.196500,5.341575,5.341575,5319788861
2020-02-14,5.343264,5.414081,5.273114,5.361947,5.361947,4314508084
2020-02-15,5.364410,5.380188,4.576839,4.743118,4.743118,6181721911
2020-02-16,4.758718,4.864755,4.126864,4.412250,4.412250,6654827622
2020-02-17,4.414339,4.417192,4.074837,4.346360,4.346360,5966492018
2020-02-18,4.348011,4.619685,4.275887,4.587672,4.587672,4331753935
2020-02-19,4.589433,4.605701,3.830087,4.009205,4.009205,4545428119
2020-02-20,4.003871,4.063366,3.891126,4.008198,4.008198,5117887501
2020-02-21,4.006064,4.167025,3.969939,4.074948,4.074948,3916164204
2020-02-22,4.078249,4.151622,4.015331,4.122131,4.122131,3072139785
2020-02-23,4.120225,4.381964,4.101405,4.381964,4.381964,3836639709
2020-02-24,4.380603,4.382215,3.959765,4.135196,4.135196,4617269623
2020-02-25,4.129440,4.213087,4.013716,4.089097,4.089097,5062981932
2020-02-26,4.082627,4.103400,3.440103,3.545149,3.545149,6188176977
2020-02-27,3.555545,3.711297,3.425582,3.602102,3.602102,4632917656
2020-02-28,3.601342,3.676294,3.407833,3.508612,3.508612,4294743274
